Date,Price,Open,High,Low,Vol.,Change %
2020-11-22,"4,845.09","4,851.96","4,853.84","4,843.20",-,-0.71%
2020-11-19,"4,879.96","4,887.12","4,902.73","4,873.95",-,-0.15%
2020-11-18,"4,887.12","4,905.09","4,916.71","4,877.31",-,-0.37%
2020-11-17,"4,905.09","4,871.41","4,909.02","4,864.84",-,0.69%
2020-11-16,"4,871.41","4,867.73","4,881.55","4,862.77",-,0.08%
2020-11-15,"4,867.73","4,905.03","4,919.41","4,864.54",-,-0.76%
2020-11-12,"4,905.03","4,883.69","4,905.27","4,878.39",-,0.44%
2020-11-11,"4,883.69","4,899.64","4,902.78","4,873.10",-,-0.33%
2020-11-10,"4,899.64","4,928.07","4,939.32","4,894.90",-,-0.58%
2020-11-09,"4,928.07","4,923.65","4,937.59","4,917.48",-,0.09%
2020-11-08,"4,923.65","4,942.12","4,954.82","4,921.14",-,-0.37%
2020-11-05,"4,942.12","4,919.60","4,958.67","4,919.60",-,0.46%
2020-11-04,"4,919.60","4,928.01","4,945.02","4,902.59",-,-0.17%
2020-11-03,"4,928.01","4,918.38","4,954.65","4,918.38",-,0.20%
2020-11-02,"4,918.38","4,896.68","4,944.47","4,896.68",-,0.44%
2020-11-01,"4,896.68","4,846.10","4,903.55","4,846.10",-,1.04%
2020-10-29,"4,846.10","4,838.52","4,867.99","4,824.86",-,0.16%
2020-10-28,"4,838.52","4,867.96","4,878.07","4,811.45",-,-0.60%
2020-10-27,"4,867.96","4,892.01","4,908.18","4,861.69",-,-0.49%
2020-10-25,"4,892.01","4,914.03","4,926.36","4,886.70",-,-0.45%
2020-10-22,"4,914.03","4,916.85","4,934.31","4,898.92",-,-0.06%
2020-10-21,"4,916.85","4,917.25","4,934.54","4,908.82",-,-0.01%
2020-10-20,"4,917.25","4,902.15","4,945.67","4,902.15",-,0.31%
2020-10-19,"4,902.15","4,877.65","4,905.95","4,856.72",-,0.50%
2020-10-18,"4,877.65","4,872.29","4,918.73","4,871.34",-,0.11%
2020-10-15,"4,872.29","4,839.05","4,878.29","4,839.05",-,0.69%
2020-10-14,"4,839.05","4,839.85","4,886.12","4,827.90",-,-0.02%
2020-10-13,"4,839.85","4,809.70","4,869.98","4,803.58",-,0.63%
2020-10-12,"4,809.70","4,858.36","4,864.71","4,804.95",-,-1.00%
2020-10-11,"4,858.36","4,916.97","4,928.67","4,852.46",-,-1.19%
2020-10-08,"4,916.97","4,934.46","4,955.01","4,910.10",-,-0.35%
2020-10-07,"4,934.46","4,928.86","4,957.94","4,928.86",-,0.11%
2020-10-06,"4,928.86","4,946.67","4,954.91","4,918.98",-,-0.36%
2020-10-05,"4,946.67","4,997.99","5,009.17","4,942.61",-,-1.03%
2020-10-04,"4,997.99","4,995.31","5,014.25","4,980.26",-,0.05%
2020-10-01,"4,995.31","4,963.29","5,002.82","4,963.29",-,0.65%
2020-09-30,"4,963.29","4,982.37","4,995.83","4,961.19",-,-0.38%
2020-09-29,"4,982.37","5,003.62","5,027.86","4,978.26",-,-0.42%
2020-09-28,"5,003.62","4,971.61","5,029.44","4,971.61",-,0.64%
2020-09-27,"4,971.61","4,978.77","5,016.00","4,953.73",-,-0.14%
2020-09-24,"4,978.77","4,972.13","4,999.76","4,964.48",-,0.13%
2020-09-23,"4,972.13","4,970.10","5,029.92","4,964.95",-,0.04%
2020-09-22,"4,970.10","5,012.12","5,017.29","4,957.07",-,-0.84%
2020-09-21,"5,012.12","5,088.87","5,103.23","5,004.57",-,-1.51%
2020-09-20,"5,088.87","5,104.65","5,131.05","5,083.33",-,-0.31%
2020-09-17,"5,104.65","5,116.81","5,134.89","5,098.06",-,-0.24%
2020-09-16,"5,116.81","5,100.54","5,128.40","5,100.54",-,0.32%
2020-09-15,"5,100.54","5,092.14","5,101.66","5,074.35",-,0.16%
2020-09-14,"5,092.14","5,094.05","5,127.17","5,072.86",-,-0.04%
2020-09-13,"5,094.05","5,105.97","5,105.97","5,091.33",-,1.65%
2020-09-10,"5,011.29","4,971.68","5,016.51","4,971.68",-,0.80%
2020-09-09,"4,971.68","4,978.32","4,999.77","4,957.81",-,-0.13%
2020-09-08,"4,978.32","4,959.18","4,990.42","4,959.18",-,0.39%
2020-09-07,"4,959.18","4,948.56","4,983.23","4,940.32",-,0.21%
2020-09-06,"4,948.56","4,927.82","4,967.95","4,927.82",-,0.42%
2020-09-03,"4,927.82","4,891.53","4,947.09","4,891.53",-,0.74%
2020-09-02,"4,891.53","4,878.67","4,900.03","4,855.56",-,0.60%
2020-09-01,"4,862.22","4,879.14","4,909.64","4,839.97",-,-0.35%
2020-08-31,"4,879.14","4,873.17","4,946.69","4,873.17",-,0.12%
2020-08-27,"4,873.17","4,827.57","4,884.31","4,827.57",-,0.94%
2020-08-26,"4,827.57","4,781.57","4,838.35","4,781.57",-,0.96%
2020-08-25,"4,781.57","4,762.43","4,812.80","4,759.54",-,0.40%
2020-08-24,"4,762.43","4,794.92","4,814.83","4,713.40",-,-0.68%
2020-08-23,"4,794.92","4,794.06","4,849.55","4,788.19",-,0.02%
2020-08-20,"4,794.06","4,790.67","4,819.66","4,771.37",-,0.10%
2020-08-19,"4,789.37","4,720.10","4,846.03","4,720.10",-,1.47%
2020-08-18,"4,720.10","4,785.04","4,813.38","4,686.55",-,-1.36%
2020-08-17,"4,785.04","4,859.48","4,952.85","4,780.57",-,-1.53%
2020-08-16,"4,859.48","4,703.32","4,863.69","4,703.32",-,3.32%
2020-08-13,"4,703.32","4,633.37","4,739.67","4,633.37",-,1.51%
2020-08-12,"4,633.37","4,533.05","4,639.57","4,533.05",-,2.21%
2020-08-10,"4,533.05","4,545.15","4,579.98","4,510.88",-,-0.27%
2020-08-09,"4,545.15","4,364.83","4,557.18","4,364.83",-,4.13%
2020-08-06,"4,364.83","4,307.15","4,368.34","4,307.15",-,1.34%
2020-08-05,"4,307.15","4,299.10","4,327.98","4,294.33",-,0.19%
2020-08-04,"4,299.10","4,271.81","4,300.82","4,257.97",-,0.64%
2020-08-03,"4,271.81","4,214.42","4,273.65","4,214.42",-,1.36%
2020-07-30,"4,214.42","4,171.20","4,218.49","4,169.64",-,1.04%
2020-07-29,"4,171.20","4,156.54","4,176.06","4,150.20",-,0.35%
2020-07-28,"4,156.54","4,145.38","4,160.81","4,143.44",-,0.27%
2020-07-27,"4,145.38","4,129.07","4,146.28","4,123.49",-,0.40%
2020-07-26,"4,129.07","4,080.93","4,130.25","4,080.87",-,1.18%
2020-07-23,"4,080.93","4,076.79","4,081.56","4,073.81",-,0.10%
2020-07-22,"4,076.79","4,085.79","4,088.44","4,070.93",-,-0.22%
2020-07-21,"4,085.79","4,074.09","4,086.83","4,069.54",-,0.38%
2020-07-20,"4,070.15","4,050.64","4,073.76","4,041.38",-,0.48%
2020-07-19,"4,050.64","4,043.97","4,051.94","4,039.58",-,-0.45%
2020-07-16,"4,069.11","4,068.27","4,071.75","4,058.43",-,-0.24%
2020-07-15,"4,079.07","4,082.14","4,088.25","4,073.42",-,-0.08%
2020-07-14,"4,082.14","4,089.51","4,095.92","4,073.21",-,-0.18%
2020-07-13,"4,089.51","4,099.42","4,111.27","4,073.26",-,-0.24%
2020-07-12,"4,099.42","4,077.82","4,102.75","4,077.82",-,0.93%
2020-07-09,"4,061.56","4,034.65","4,063.23","4,034.65",-,0.67%
2020-07-08,"4,034.65","4,001.81","4,037.77","4,001.81",-,0.82%
2020-07-07,"4,001.81","3,994.65","4,003.71","3,994.65",-,0.18%
2020-07-06,"3,994.65","3,981.52","3,998.02","3,977.36",-,0.33%
2020-07-05,"3,981.52","3,986.73","3,986.73","3,977.10",-,-0.13%
2020-07-02,"3,986.73","3,989.08","3,989.08","3,978.92",-,-0.06%
2020-06-30,"3,989.08","3,981.64","3,989.53","3,979.72",-,0.19%
2020-06-29,"3,981.64","3,974.22","3,983.06","3,974.22",-,0.19%
2020-06-28,"3,974.22","3,969.28","3,976.14","3,965.55",-,0.12%
2020-06-25,"3,969.28","3,964.83","3,970.22","3,964.83",-,0.11%
2020-06-24,"3,964.83","3,963.35","3,966.34","3,961.56",-,0.04%
2020-06-23,"3,963.35","3,962.04","3,965.26","3,960.97",-,0.03%
2020-06-22,"3,962.04","3,962.98","3,963.70","3,959.90",-,-0.02%
2020-06-21,"3,962.98","3,960.57","3,963.14","3,959.66",-,0.06%
2020-06-18,"3,960.57","3,961.90","3,961.90","3,958.16",-,-0.03%
2020-06-17,"3,961.90","3,960.65","3,963.92","3,958.33",-,0.03%
2020-06-16,"3,960.65","3,958.36","3,963.62","3,954.32",-,0.06%
2020-06-15,"3,958.36","3,964.28","3,964.28","3,957.92",-,-0.15%
2020-06-14,"3,964.28","3,967.31","3,971.13","3,962.93",-,-0.08%
2020-06-11,"3,967.31","3,968.26","3,969.47","3,963.62",-,0.01%
2020-06-10,"3,966.75","3,962.37","3,967.97","3,959.59",-,0.11%
2020-06-09,"3,962.37","3,956.10","3,962.37","3,956.10",-,0.16%
2020-06-08,"3,956.10","3,961.51","3,961.61","3,955.71",-,-0.14%
2020-06-07,"3,961.51","3,953.38","3,962.69","3,953.38",-,0.21%
2020-06-04,"3,953.38","3,963.40","3,963.40","3,952.47",-,-0.25%
2020-06-03,"3,963.40","3,969.58","3,973.25","3,961.80",-,-0.16%
2020-06-02,"3,969.58","3,999.49","3,999.49","3,965.27",-,-0.75%
2020-06-01,"3,999.49","4,060.44","4,102.76","3,991.79",-,-1.50%
2020-05-31,"4,060.44","4,008.28","4,060.44","3,998.43",-,1.30%
2020-03-29,"4,008.28","4,008.28","4,008.28","4,008.28",-,0.00%
2020-03-25,"4,008.28","3,976.56","4,013.75","3,976.56",-,0.80%
2020-03-24,"3,976.56","3,984.75","3,985.72","3,962.76",-,-0.21%
2020-03-23,"3,984.75","3,960.17","3,987.17","3,960.17",-,0.62%
2020-03-22,"3,960.17","3,974.96","3,980.14","3,949.80",-,-0.37%
2020-03-19,"3,974.96","3,603.95","3,976.23","3,603.95",-,10.29%
2020-03-18,"3,603.95","3,838.84","3,844.63","3,593.15",-,-4.47%
2020-03-16,"3,772.55","3,969.31","4,028.58","3,760.39",-,-4.96%
2020-03-15,"3,969.31","4,129.96","4,129.96","3,897.62",-,-3.89%
2020-03-12,"4,129.96","4,231.48","4,238.06","4,105.97",-,-2.40%
2020-03-11,"4,231.48","4,156.32","4,254.08","4,156.32",-,1.81%
2020-03-10,"4,156.32","4,008.05","4,167.85","4,002.11",-,3.70%
2020-03-09,"4,008.05","4,287.38","4,287.38","3,998.39",-,-6.52%
2020-03-08,"4,287.38","4,384.48","4,393.78","4,283.05",-,-2.21%
2020-03-05,"4,384.48","4,409.62","4,425.73","4,378.18",-,-0.57%
2020-03-04,"4,409.62","4,466.07","4,511.25","4,407.18",-,-1.26%
2020-03-03,"4,466.07","4,434.81","4,508.00","4,434.81",-,0.70%
2020-03-02,"4,434.81","4,409.91","4,460.06","4,387.81",-,0.56%
2020-03-01,"4,409.91","4,480.22","4,483.31","4,372.75",-,-1.57%
2020-02-27,"4,480.22","4,549.11","4,575.85","4,476.50",-,-1.51%
2020-02-26,"4,549.11","4,621.19","4,643.90","4,541.04",-,-1.56%
2020-02-25,"4,621.19","4,650.89","4,662.64","4,612.38",-,-0.64%
2020-02-24,"4,650.89","4,698.89","4,708.58","4,647.37",-,-1.02%
2020-02-23,"4,698.89","4,698.89","4,698.89","4,698.89",-,-0.72%
2020-02-20,"4,733.14","4,758.00","4,784.14","4,729.31",-,-0.52%
2020-02-19,"4,758.00","4,740.40","4,777.98","4,705.82",-,0.37%
2020-02-18,"4,740.40","4,768.13","4,826.57","4,732.17",-,-0.58%
2020-02-17,"4,768.13","4,734.15","4,776.87","4,705.12",-,0.72%
2020-02-16,"4,734.15","4,564.61","4,742.71","4,564.61",-,3.71%
2020-02-13,"4,564.61","4,480.83","4,569.72","4,480.83",-,1.87%
2020-02-12,"4,480.83","4,471.51","4,506.71","4,470.92",-,0.21%
2020-02-11,"4,471.51","4,385.54","4,492.26","4,385.54",-,1.96%
